1914007;-0.4900;5.0000;8.3800;-0.1250;0.0000;0.0000;27.3750;-28.1875;-4.2500;
1914113;-0.5100;4.9900;8.4000;-0.0625;-0.0625;0.0625;28.5625;-28.1875;-4.2500;
1914221;-0.5100;4.9700;8.4100;0.1250;0.0000;-0.1250;28.1875;-28.1875;-4.2500;
1914329;-0.5100;4.9700;8.3800;0.0625;-0.2500;0.0625;28.1875;-27.7500;-2.6875;
1914438;-0.5300;5.0000;8.3800;0.1250;0.0625;-0.1875;27.0625;-28.5625;-3.8750;
1914547;-0.4900;5.0100;8.3700;0.0000;0.1875;0.0000;28.1875;-27.7500;-3.0625;
1914651;-0.5000;5.0000;8.3700;0.1250;-0.1250;0.0000;29.6875;-27.0625;-3.5000;
1914760;-0.5100;5.0100;8.3800;0.0000;-0.0625;0.0000;27.7500;-27.3750;-3.0625;
1914869;-0.5300;4.9800;8.3800;0.0625;0.1875;-0.0625;28.1875;-27.7500;-3.8750;
1914978;-0.5000;4.9700;8.3900;0.0000;0.0000;0.0000;28.5625;-28.1875;-3.8750;
1915086;-0.5000;4.9700;8.3900;0.1250;-0.0625;0.0625;26.2500;-28.5625;-3.8750;
1915198;-0.5100;4.9900;8.4000;-0.0625;0.0625;-0.1875;28.1875;-28.5625;-4.2500;
1915308;-0.4900;4.9500;8.3800;0.1875;-0.1250;0.0625;28.1875;-27.7500;-3.5000;
1915417;-0.5000;4.9800;8.3800;0.0625;0.0000;0.0000;29.2500;-28.1875;-3.5000;
1915522;-0.5000;4.9900;8.3900;0.0000;-0.0625;0.0625;27.3750;-28.1875;-1.8750;
1915631;-0.5000;4.9700;8.4000;-0.1250;0.3125;-0.0625;28.1875;-27.7500;-3.0625;
1915739;-0.4900;4.9800;8.3800;0.0000;0.0000;0.0000;27.7500;-27.7500;-3.8750;
1915848;-0.5000;4.9700;8.4000;-0.1875;0.0000;0.0000;28.1875;-28.5625;-3.8750;
1915958;-0.5000;5.0000;8.3800;0.0625;0.0000;0.1250;29.2500;-28.1875;-3.0625;
1916062;-0.4900;4.9700;8.3800;0.0625;0.1250;0.0625;27.7500;-27.3750;-3.5000;
1916170;-0.5000;4.9800;8.4000;-0.0625;0.0000;0.0000;27.7500;-27.7500;-3.8750;
1916279;-0.5000;4.9700;8.3800;-0.0625;0.0625;0.0000;27.7500;-27.7500;-4.2500;
1916388;-0.5000;4.9500;8.3800;-0.0625;0.1875;0.0000;28.1875;-27.7500;-3.5000;
1916495;-0.5000;4.9700;8.3700;-0.1250;-0.2500;-0.0625;28.5625;-27.3750;-3.5000;
1916605;-0.5000;4.9800;8.3800;0.0625;-0.1875;-0.1250;28.1875;-28.1875;-3.8750;
1916713;-0.5000;5.0000;8.3800;-0.0625;0.0000;-0.0625;28.1875;-28.1875;-3.5000;
